image,centroids
11_thumbnail1.bmp,"[(1558.3, 102.6), (1177.2, 142.1), (980.8, 123.6), (477.7, 150.5), (1393.4, 147.6), (234.0, 203.7), (1667.1, 214.4), (152.0, 129.0), (347.5, 147.6), (806.9, 197.5), (1868.7, 144.8), (1601.6, 146.1), (648.1, 198.9), (1944.8, 156.7), (885.7, 153.3), (1832.2, 152.5), (387.2, 149.0), (1749.3, 194.8), (301.6, 163.7), (1281.5, 155.0), (915.2, 183.5), (1188.3, 226.4), (1557.3, 266.1), (1335.9, 231.4), (1067.4, 225.6), (1100.1, 245.8), (557.6, 251.4), (988.5, 264.3), (370.2, 276.4), (440.9, 273.5), (481.8, 263.1), (766.5, 265.6), (1439.0, 412.1), (881.9, 270.9), (1898.4, 319.0), (1179.8, 267.7), (1688.6, 263.4), (1754.2, 277.7), (318.0, 266.0), (1219.7, 272.3), (1281.8, 280.0), (1297.8, 274.9), (1266.0, 283.2), (1722.4, 283.4), (904.2, 303.3), (1823.6, 315.0), (1193.6, 295.9), (1612.8, 424.1), (1745.8, 343.9), (1023.5, 419.4), (424.5, 369.3), (448.0, 328.3), (670.7, 330.0), (502.4, 346.1), (718.5, 357.2), (809.1, 348.5), (551.7, 364.4), (1194.3, 340.4), (1315.5, 418.6), (1780.0, 348.5), (1125.9, 380.9), (1193.7, 358.8), (1542.9, 379.9), (230.3, 418.9), (356.8, 371.7), (880.4, 394.6), (1757.9, 390.1), (1853.4, 405.3), (779.6, 382.6), (303.7, 396.9), (383.5, 389.0), (1523.0, 435.0), (324.2, 496.4), (757.3, 460.1), (941.2, 606.1), (1238.6, 460.3), (476.8, 607.8), (1134.8, 478.4), (1721.6, 504.2), (1835.5, 502.4), (392.7, 508.7), (657.7, 503.0), (250.2, 625.5), (728.0, 501.0), (1026.1, 532.3), (1603.6, 637.0), (1420.6, 585.4), (1122.7, 665.0), (1285.4, 621.7), (711.7, 579.1), (1855.3, 595.9), (802.8, 666.5), (661.1, 589.3), (1760.8, 607.7), (671.6, 608.6), (582.9, 653.8), (1904.4, 648.4), (1432.3, 669.6), (1828.6, 652.9), (1752.3, 683.5), (1537.0, 668.0), (681.8, 716.9), (1866.0, 694.0), (1865.4, 714.1), (1030.6, 721.4), (1269.8, 729.2)]"
11_thumbnail2.bmp,"[(1561.4, 96.2), (1102.4, 107.5), (981.2, 120.8), (551.0, 171.8), (1389.9, 149.8), (234.4, 202.0), (1667.8, 211.1), (351.2, 147.2), (781.9, 153.7), (1872.2, 145.9), (1207.4, 156.0), (1598.9, 143.5), (1944.2, 155.4), (885.4, 154.6), (1834.1, 151.9), (1749.3, 197.5), (289.2, 161.3), (306.3, 162.3), (1276.7, 155.5), (1441.4, 162.9), (917.5, 188.7), (819.2, 217.2), (1557.9, 263.9), (1188.5, 225.6), (1335.8, 232.0), (612.3, 211.5), (1063.0, 215.0), (1099.9, 246.2), (1075.0, 232.0), (524.9, 257.0), (987.5, 265.3), (387.1, 276.0), (1429.1, 264.2), (769.5, 267.3), (896.3, 289.7), (1895.5, 314.7), (1756.2, 277.0), (1219.8, 272.0), (1178.5, 272.5), (1270.1, 285.4), (1297.2, 276.0), (683.7, 298.8), (1191.7, 294.4), (1822.3, 316.8), (1442.4, 427.7), (1611.3, 425.9), (1746.5, 343.5), (1024.1, 440.3), (404.3, 337.4), (439.0, 328.0), (693.5, 336.4), (729.4, 354.7), (498.7, 331.7), (809.8, 349.8), (553.0, 361.7), (1193.5, 340.2), (1315.3, 419.8), (1758.8, 386.2), (1129.9, 382.1), (1193.0, 358.8), (1542.6, 380.3), (355.4, 586.2), (356.0, 372.9), (515.2, 370.0), (443.2, 402.9), (882.4, 397.0), (1855.8, 400.5), (303.3, 397.3), (758.0, 459.6), (1522.5, 428.7), (940.6, 604.6), (1239.1, 460.6), (324.5, 502.7), (498.1, 459.8), (1139.1, 481.1), (1688.1, 469.3), (1837.7, 503.2), (394.9, 510.7), (658.6, 507.3), (1740.5, 522.7), (1486.5, 490.0), (1419.4, 582.4), (1125.4, 669.3), (1628.2, 651.0), (1286.1, 625.7), (712.8, 579.4), (1856.4, 597.6), (1523.7, 596.8), (666.8, 605.1), (802.1, 667.5), (1759.9, 607.3), (582.5, 653.1), (1905.2, 647.7), (1431.2, 669.6), (1828.7, 652.8), (1751.9, 682.0), (678.8, 716.8), (1030.7, 721.6), (1864.4, 714.7), (987.5, 714.0), (1270.2, 729.0), (302.9, 743.2)]"
11_thumbnail3.bmp,"[(596.4, 138.8), (1332.7, 108.2), (1001.5, 231.8), (822.9, 145.0), (424.6, 124.5), (676.4, 123.4), (338.7, 116.7), (222.7, 89.0), (209.0, 242.4), (1560.9, 194.3), (1691.2, 113.9), (1229.5, 141.7), (298.3, 127.8), (1769.4, 151.4), (1885.9, 208.4), (1102.3, 269.8), (1418.0, 169.0), (1658.0, 165.1), (692.8, 157.1), (1311.2, 158.6), (907.8, 206.5), (1185.4, 174.7), (716.0, 174.0), (1707.4, 179.1), (426.0, 194.0), (415.5, 278.5), (1628.0, 226.3), (546.6, 308.7), (1049.2, 219.9), (1351.7, 242.7), (599.8, 231.3), (1755.3, 252.4), (828.2, 281.7), (659.0, 261.6), (1662.8, 258.9), (1202.2, 308.0), (1457.8, 301.4), (1793.0, 278.9), (771.0, 273.5), (474.0, 308.2), (297.4, 378.7), (1632.0, 285.0), (778.6, 349.0), (629.5, 324.7), (1067.0, 307.0), (1644.3, 359.2), (957.5, 319.0), (1275.0, 449.1), (1610.0, 326.0), (1537.0, 334.9), (1703.2, 354.4), (868.2, 532.5), (1546.9, 376.8), (1205.4, 391.2), (1882.3, 379.8), (436.1, 374.2), (1751.6, 397.9), (1420.6, 393.1), (643.5, 380.9), (399.6, 385.1), (1925.5, 385.5), (388.8, 401.6), (218.8, 504.5), (1578.8, 416.0), (358.9, 446.3), (723.7, 432.1), (1882.7, 481.5), (1427.3, 485.2), (516.9, 472.6), (1704.6, 454.6), (1058.2, 460.7), (1624.6, 496.2), (676.9, 490.3), (766.6, 485.6), (1095.8, 544.5), (737.0, 474.0), (1749.2, 514.3), (1538.8, 494.4), (387.7, 581.8), (376.0, 483.0), (393.0, 489.7), (984.2, 504.8), (1493.1, 504.2), (1469.0, 507.3), (1226.5, 561.9), (942.0, 524.0), (1652.4, 584.8), (647.5, 630.3), (778.0, 628.5), (565.8, 582.0), (1713.3, 596.7), (1365.6, 639.9), (1903.6, 645.5), (1553.8, 609.7), (1482.9, 679.0), (976.6, 648.7), (1839.9, 611.5), (217.3, 603.9), (915.3, 608.0), (1719.7, 617.7), (1191.9, 680.7), (274.2, 687.4), (1328.1, 687.9), (1640.3, 679.8), (1758.0, 687.3), (1076.0, 699.0), (492.5, 709.1), (559.1, 707.8), (439.5, 713.0), (208.1, 712.7), (1641.9, 715.3), (1266.5, 721.9), (1833.6, 731.1), (1763.3, 722.3), (234.1, 722.5), (348.0, 722.0), (1549.0, 721.7), (1101.0, 724.0), (1207.1, 729.0), (201.5, 732.0), (169.6, 734.9)]"
11_thumbnail4.bmp,"[(1068.7, 69.4), (1418.3, 127.1), (1760.1, 126.2), (708.2, 92.0), (897.2, 109.7), (821.9, 108.1), (579.0, 125.1), (354.4, 140.9), (1538.9, 224.9), (204.8, 139.7), (1338.5, 140.3), (1130.2, 157.3), (1195.3, 122.9), (684.0, 177.8), (973.0, 165.1), (1237.8, 163.0), (1612.9, 153.9), (424.4, 161.8), (1841.9, 261.8), (1935.5, 161.5), (893.0, 166.0), (879.6, 170.5), (202.8, 188.6), (1620.4, 232.6), (471.9, 243.9), (967.3, 266.8), (1238.5, 246.5), (662.2, 252.7), (1372.6, 252.0), (279.8, 266.3), (1321.6, 255.3), (769.2, 263.2), (1092.6, 267.7), (930.1, 342.8), (818.2, 272.4), (585.1, 271.6), (1422.6, 396.1), (619.2, 266.0), (702.0, 274.9), (1060.0, 269.5), (734.6, 273.9), (172.3, 307.2), (373.8, 437.1), (1621.0, 297.5), (1119.1, 354.5), (1854.4, 339.6), (1468.0, 324.0), (1605.0, 346.7), (1758.1, 361.4), (1667.9, 366.9), (683.7, 404.0), (1249.9, 412.7), (1712.4, 364.2), (173.0, 373.5), (410.3, 400.5), (219.0, 383.1), (1071.5, 396.2), (1828.0, 406.4), (902.3, 427.9), (7.1, 534.4), (989.7, 598.8), (1829.3, 561.0), (598.0, 484.0), (1233.5, 479.1), (269.3, 550.8), (1522.0, 486.7), (877.0, 484.8), (831.7, 486.9), (1608.8, 618.0), (848.7, 488.9), (1683.5, 504.0), (1239.9, 558.6), (768.9, 588.0), (1412.0, 578.6), (1362.8, 560.9), (168.1, 565.2), (452.6, 624.9), (1322.7, 585.8), (1502.8, 597.2), (694.5, 625.4), (204.3, 596.9), (529.8, 624.7), (989.1, 604.7), (227.2, 602.7), (968.8, 655.9), (205.5, 620.5), (230.9, 682.6), (1741.9, 679.9), (14.4, 659.5), (594.7, 673.9), (708.0, 714.6), (1370.0, 684.4), (1278.1, 681.1), (1171.1, 679.4), (1057.2, 693.7), (1216.6, 690.3), (550.5, 702.7), (1209.2, 706.0), (296.9, 732.5), (1703.1, 718.8), (1316.8, 740.1), (533.7, 738.1), (1366.8, 722.6), (1657.6, 728.3), (8.2, 780.0), (1209.0, 729.0), (425.5, 764.3), (3.0, 876.0)]"
11_thumbnail5.bmp,"[(700.4, 84.3), (1898.2, 103.6), (912.6, 113.9), (1381.0, 135.7), (994.7, 127.6), (803.5, 127.1), (541.0, 133.9), (1717.5, 257.7), (1152.0, 118.5), (393.0, 180.2), (1518.5, 185.9), (501.6, 108.3), (655.9, 138.3), (231.5, 149.7), (1149.4, 143.6), (1108.1, 161.1), (1589.3, 193.4), (612.2, 181.2), (887.2, 282.4), (1893.8, 180.6), (260.9, 232.8), (749.7, 302.5), (1917.4, 198.0), (1227.1, 256.4), (1322.4, 256.6), (1085.4, 290.5), (1881.9, 248.6), (748.4, 241.6), (1427.3, 248.2), (719.7, 250.1), (1705.0, 246.0), (548.7, 290.4), (737.5, 254.5), (1451.6, 268.7), (1031.4, 465.6), (1527.4, 279.6), (1948.3, 272.3), (363.2, 322.3), (1446.4, 372.7), (504.0, 463.7), (1319.4, 413.8), (343.7, 373.1), (164.7, 367.8), (1573.0, 408.7), (1912.2, 378.4), (1238.6, 404.2), (662.3, 441.8), (248.4, 436.8), (1164.0, 375.6), (1864.9, 393.0), (1666.6, 396.4), (1426.1, 460.1), (1727.3, 448.7), (869.2, 480.3), (1251.8, 532.6), (1803.7, 474.1), (1660.7, 489.3), (313.5, 576.9), (1871.2, 483.8), (221.9, 491.5), (1513.6, 544.3), (771.5, 551.2), (238.4, 490.1), (1354.0, 571.4), (793.1, 517.1), (1750.5, 580.3), (656.9, 571.8), (715.0, 560.0), (1908.3, 606.7), (507.6, 586.0), (561.4, 593.7), (240.1, 595.8), (845.2, 595.0), (1662.2, 619.6), (874.2, 610.4), (1440.7, 606.6), (527.7, 678.1), (1552.5, 607.5), (762.5, 693.4), (1868.6, 660.4), (835.1, 644.0), (222.3, 667.2), (1095.7, 657.7), (957.8, 678.5), (1386.9, 688.0), (1677.1, 702.5), (1189.6, 705.1), (1824.1, 683.4), (1575.1, 701.3), (1775.4, 727.2), (365.0, 720.0), (1506.3, 720.7), (1092.0, 719.0), (843.3, 723.4), (966.0, 724.0), (1534.5, 728.5), (1296.7, 740.4)]"
11_thumbnail6.bmp,"[(1740.3, 162.6), (1354.1, 107.4), (1882.9, 119.0), (1569.2, 108.1), (446.0, 124.2), (251.5, 127.0), (686.5, 129.8), (895.1, 136.1), (1385.9, 132.2), (1434.7, 145.7), (1090.7, 197.8), (430.7, 229.2), (1183.3, 206.4), (332.4, 178.0), (771.2, 155.2), (937.2, 237.3), (1115.8, 156.7), (672.8, 166.4), (650.4, 169.3), (1246.1, 177.8), (201.0, 171.0), (1522.4, 180.4), (1497.1, 187.8), (1306.8, 259.3), (1878.1, 229.0), (670.0, 249.6), (1485.6, 313.2), (1660.0, 259.5), (766.9, 259.3), (218.7, 263.5), (245.5, 257.0), (864.8, 270.1), (1092.3, 279.5), (531.4, 286.4), (1726.0, 309.7), (789.9, 348.8), (1547.2, 340.8), (828.4, 302.9), (560.0, 352.2), (894.5, 355.8), (640.8, 367.0), (215.6, 510.4), (1609.7, 362.0), (1321.0, 414.6), (1895.9, 401.2), (1740.6, 399.8), (1024.5, 487.6), (1241.5, 478.8), (480.7, 531.9), (1151.3, 384.0), (1396.5, 364.0), (508.1, 387.4), (1337.5, 394.5), (1540.6, 394.9), (1584.4, 401.4), (1827.5, 445.7), (918.8, 436.5), (1357.9, 425.1), (1595.7, 440.2), (1408.3, 441.6), (1751.6, 439.7), (269.0, 459.5), (1707.0, 457.7), (324.6, 476.6), (1890.1, 480.8), (293.3, 478.7), (1627.4, 516.0), (1398.7, 520.1), (1759.1, 593.5), (1556.7, 520.6), (1897.0, 504.5), (1655.7, 526.7), (671.3, 563.3), (1644.8, 581.4), (931.4, 650.3), (726.3, 647.5), (1418.0, 591.0), (1532.5, 656.1), (1295.3, 652.8), (1828.2, 599.4), (586.7, 594.0), (1104.1, 612.7), (1900.5, 624.0), (1235.0, 652.9), (293.8, 660.4), (495.2, 694.6), (1132.6, 697.6), (235.3, 710.9), (1809.5, 693.1), (1883.2, 698.3), (661.6, 692.3), (1416.8, 712.4), (1654.5, 703.3), (1681.3, 724.3), (1348.2, 731.1), (1869.1, 724.2), (1902.4, 740.8)]"
11_thumbnail7.bmp,"[(1529.8, 125.5), (1861.1, 121.4), (435.0, 116.0), (1092.5, 130.3), (1193.5, 115.3), (1245.8, 119.7), (639.8, 171.8), (589.6, 140.9), (947.0, 106.0), (169.1, 121.7), (1433.8, 176.6), (1020.6, 139.5), (1645.4, 128.4), (782.5, 139.5), (922.1, 144.8), (1751.1, 159.0), (325.4, 138.4), (219.5, 153.0), (366.2, 183.9), (1296.5, 153.7), (189.0, 146.0), (1383.2, 154.2), (1666.3, 156.6), (1256.2, 166.5), (1351.3, 163.3), (1581.1, 269.1), (449.0, 181.4), (1159.6, 250.6), (994.9, 284.5), (1877.2, 229.9), (672.7, 233.5), (210.4, 230.1), (576.6, 246.2), (309.5, 321.0), (433.8, 257.2), (757.9, 308.9), (1834.5, 327.7), (871.9, 272.6), (212.8, 294.4), (191.8, 314.3), (234.0, 293.0), (1190.7, 359.5), (1139.2, 299.3), (665.1, 394.6), (519.5, 557.8), (1614.8, 455.7), (1398.1, 311.5), (872.8, 353.1), (1411.7, 352.9), (446.1, 359.7), (954.5, 361.8), (233.5, 377.7), (1094.3, 455.6), (1778.5, 484.5), (1932.0, 360.0), (786.1, 382.3), (1320.5, 382.2), (754.7, 388.2), (1502.8, 386.0), (1489.5, 392.2), (1256.2, 405.9), (809.1, 411.5), (1005.1, 462.3), (1312.0, 412.0), (1278.6, 414.6), (1874.8, 453.7), (247.2, 458.6), (1436.9, 436.9), (886.0, 470.4), (1404.5, 476.5), (610.3, 462.1), (306.4, 523.5), (756.1, 508.9), (1067.7, 611.3), (611.5, 480.5), (1294.1, 545.3), (1009.0, 499.0), (1495.1, 516.4), (220.3, 609.0), (1440.1, 601.6), (961.0, 562.3), (767.7, 580.7), (1691.4, 568.2), (1878.3, 596.9), (851.3, 578.7), (876.7, 608.1), (1356.0, 592.6), (354.8, 595.8), (1240.3, 686.6), (690.3, 653.2), (1670.9, 707.8), (795.9, 679.2), (337.9, 683.9), (626.0, 691.9), (1892.8, 703.1), (1568.9, 704.1), (977.0, 704.1), (860.7, 703.3), (1405.9, 714.5), (1443.4, 713.0), (881.6, 728.5), (1540.0, 729.8), (1176.5, 740.0)]"
11_thumbnail8.bmp,"[(515.7, 141.6), (1618.7, 178.6), (1047.4, 126.1), (172.2, 120.4), (239.3, 140.5), (1095.6, 169.0), (1770.6, 139.3), (622.5, 184.3), (780.5, 209.8), (1216.6, 156.3), (1001.2, 150.3), (363.2, 218.6), (894.8, 183.3), (1272.2, 297.4), (1828.2, 240.4), (1251.9, 169.2), (1447.1, 218.1), (1710.7, 170.6), (1038.4, 250.5), (1315.2, 182.7), (1404.9, 202.6), (567.0, 199.5), (1167.0, 217.2), (692.6, 228.2), (553.6, 205.9), (473.2, 259.5), (615.2, 252.9), (811.3, 421.0), (225.1, 251.4), (561.6, 272.8), (1588.5, 269.3), (635.0, 256.0), (841.5, 260.0), (1585.5, 399.1), (961.6, 269.5), (209.9, 271.9), (255.6, 275.2), (1220.0, 279.3), (286.0, 283.1), (1129.4, 284.9), (372.5, 338.1), (729.3, 301.5), (1786.7, 303.4), (1926.0, 324.3), (431.4, 349.5), (666.6, 328.7), (721.1, 348.3), (764.8, 361.0), (480.3, 360.3), (226.3, 432.2), (1360.0, 362.3), (1073.2, 392.6), (1872.5, 386.1), (1743.7, 395.4), (518.6, 405.1), (1310.8, 502.0), (322.0, 408.9), (278.8, 389.8), (293.7, 387.6), (1354.0, 397.0), (357.8, 438.1), (1178.5, 456.3), (1089.7, 480.6), (1397.1, 444.3), (1744.0, 442.0), (1775.3, 467.9), (1441.9, 499.0), (298.3, 479.5), (1919.2, 505.9), (990.2, 497.2), (1696.1, 515.5), (433.8, 563.2), (1022.2, 500.6), (1851.5, 498.1), (810.7, 546.0), (292.2, 625.6), (1065.7, 562.1), (1640.0, 540.0), (1276.7, 563.6), (1576.3, 586.7), (893.6, 604.5), (1935.1, 589.2), (1711.5, 585.0), (1457.2, 601.4), (1626.0, 681.9), (557.4, 672.3), (1204.5, 672.2), (1763.3, 612.8), (656.2, 667.9), (1065.6, 679.5), (1192.6, 600.7), (1741.3, 601.2), (1392.7, 659.6), (954.9, 671.2), (466.6, 684.8), (1834.6, 696.8), (1283.7, 700.3), (709.1, 691.3), (759.6, 724.5), (226.4, 737.1), (891.2, 711.0), (783.9, 721.1), (1728.4, 731.9), (1416.6, 724.6), (668.5, 726.7), (1651.0, 725.9), (423.3, 731.5)]"
11_thumbnail9.bmp,"[(1467.7, 218.6), (751.3, 117.6), (1587.4, 116.8), (329.2, 122.9), (1772.5, 215.0), (1064.0, 101.4), (213.9, 129.1), (498.4, 144.3), (1218.2, 133.3), (884.3, 125.2), (1686.2, 176.2), (627.1, 261.5), (955.4, 139.5), (1333.1, 149.0), (1069.2, 157.8), (1301.7, 139.2), (1495.0, 140.2), (1834.9, 266.9), (1106.5, 147.8), (1290.0, 150.5), (367.9, 163.2), (393.6, 171.4), (1254.6, 177.3), (203.5, 206.1), (1279.5, 182.5), (1313.4, 231.1), (487.2, 271.2), (298.8, 290.1), (1284.5, 197.0), (1024.7, 233.6), (828.8, 223.4), (767.4, 254.1), (1227.4, 270.4), (1391.3, 238.2), (856.2, 243.5), (885.7, 287.2), (1105.1, 275.3), (1341.9, 294.1), (1004.5, 322.2), (163.4, 316.7), (1619.9, 334.0), (796.4, 360.4), (215.5, 363.4), (1629.3, 377.7), (441.5, 361.1), (330.0, 370.1), (1820.6, 358.8), (649.8, 386.7), (1860.0, 377.3), (1622.7, 585.2), (960.3, 423.1), (1107.1, 458.3), (1442.6, 376.4), (1311.2, 389.6), (1427.5, 396.4), (1893.1, 423.2), (190.0, 395.0), (204.0, 396.0), (1463.6, 410.1), (1708.0, 403.5), (320.0, 415.0), (825.3, 542.5), (217.2, 484.4), (633.7, 607.2), (533.0, 454.2), (1357.7, 428.2), (748.1, 476.7), (1855.0, 530.8), (405.6, 514.9), (1284.6, 486.9), (920.1, 464.7), (1653.6, 477.2), (1747.9, 527.0), (1436.7, 485.0), (1422.9, 498.8), (1094.1, 653.9), (498.0, 548.5), (448.3, 623.5), (1203.0, 593.7), (1264.0, 595.6), (222.5, 609.9), (1291.1, 684.2), (345.5, 634.2), (240.6, 672.4), (1544.4, 613.1), (1615.3, 618.9), (312.3, 634.0), (806.0, 692.0), (1490.9, 697.8), (1020.0, 687.7), (1571.9, 710.2), (1857.5, 709.3), (1031.0, 708.0), (985.7, 716.4), (1420.3, 720.5), (1629.3, 729.1), (1321.0, 733.4), (937.5, 740.0)]"
12_thumbnail1.bmp,"[(874.0, 90.0), (556.6, 158.5), (1267.4, 131.8), (323.5, 189.5), (1624.8, 186.5), (280.5, 158.0), (845.9, 175.4), (972.3, 174.9), (1849.7, 195.9), (425.4, 191.1), (914.2, 164.1), (1429.5, 203.5), (613.8, 382.8), (830.6, 206.7), (1321.6, 211.0), (1089.0, 223.2), (1464.3, 204.5), (486.9, 201.3), (769.4, 345.7), (1248.1, 440.4), (1781.7, 281.1), (1536.3, 391.3), (516.5, 208.0), (1666.5, 211.9), (1110.3, 222.0), (236.1, 269.6), (369.1, 230.5), (1831.1, 233.4), (1187.5, 232.5), (879.4, 291.4), (1816.1, 248.5), (425.5, 255.4), (440.4, 254.9), (505.3, 275.6), (977.3, 293.1), (1625.4, 279.7), (1022.2, 303.8), (1129.3, 319.6), (1645.3, 307.1), (455.5, 323.4), (1857.0, 346.6), (1441.4, 346.8), (381.5, 337.2), (192.1, 359.0), (1617.5, 404.4), (1095.0, 351.0), (355.3, 387.9), (905.8, 398.7), (499.5, 372.0), (1142.2, 403.4), (1427.5, 413.3), (987.8, 433.5), (437.3, 469.7), (1209.0, 394.9), (1726.3, 457.1), (185.2, 452.6), (348.2, 445.2), (1854.8, 446.1), (1464.1, 437.4), (873.3, 523.5), (1043.9, 489.0), (1849.3, 520.0), (740.8, 518.3), (268.6, 598.9), (269.0, 506.5), (1494.1, 509.2), (1380.4, 544.0), (1058.3, 526.9), (998.8, 536.6), (537.3, 590.8), (1043.9, 572.3), (467.7, 636.1), (1757.8, 604.4), (287.0, 548.0), (1099.6, 555.2), (879.1, 630.8), (666.0, 634.6), (1656.8, 639.8), (1014.6, 656.7), (106.6, 621.2), (1340.1, 652.2), (734.0, 663.6), (1496.2, 665.5), (549.7, 690.0), (1882.7, 708.2), (1020.0, 687.7), (1497.9, 723.7), (928.1, 756.5), (1055.1, 755.2)]"
