epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.50832,3.16747,3.64775,2.00253,0.008,0.04545,0.00431,0.00147,3.68473,3.42126,1.84392,2e-05,2e-05,2e-05
2,2.0094,3.26249,3.64062,2.03909,0.00867,0.04924,0.00462,0.00123,3.61785,3.43663,1.84556,5.92575e-05,5.92575e-05,5.92575e-05
3,2.43047,3.12246,3.65424,2.03609,0.008,0.04545,0.00421,0.00125,3.53399,3.45419,1.83697,9.7525e-05,9.7525e-05,9.7525e-05
4,2.84624,3.09065,3.60683,2.0411,0.018,0.10227,0.01012,0.00321,3.83329,3.36512,1.86226,0.000134803,0.000134803,0.000134803
5,3.35145,2.78813,3.42513,1.59997,0.00933,0.05303,0.00512,0.00142,4.43111,3.4483,2.36975,0.00017109,0.00017109,0.00017109
6,3.85017,2.54041,3.14504,1.39363,0.03867,0.2197,0.03083,0.00652,3.38141,3.30438,1.7977,0.000206388,0.000206388,0.000206388
7,4.34595,2.30142,2.72424,1.2649,0.108,0.61364,0.10042,0.0307,2.25457,3.19434,1.31771,0.000240695,0.000240695,0.000240695
8,4.86287,2.15518,2.2425,1.20691,0.12467,0.70833,0.13026,0.05166,2.01981,2.97692,1.20836,0.000274012,0.000274012,0.000274012
9,5.36343,2.10981,2.02922,1.22248,0.12933,0.73485,0.19764,0.07055,2.06366,2.86555,1.23219,0.00030634,0.00030634,0.00030634
10,5.91332,2.06855,1.7818,1.20289,0.136,0.77273,0.50742,0.19271,2.01228,2.74624,1.20804,0.000337677,0.000337677,0.000337677
11,6.42726,2.0342,1.68763,1.16167,0.144,0.81818,0.64278,0.25449,1.9132,2.6215,1.17157,0.000368025,0.000368025,0.000368025
12,6.90918,2.12332,1.57299,1.15992,0.15067,0.85606,0.70718,0.26169,1.85026,2.48178,1.14783,0.000397383,0.000397383,0.000397383
13,7.4233,2.1151,1.55955,1.17428,0.24423,0.87879,0.73478,0.2836,1.8787,2.34147,1.16378,0.00042575,0.00042575,0.00042575
14,7.96482,1.94979,1.36673,1.12952,0.82067,0.68939,0.79247,0.32993,1.85857,2.26202,1.14875,0.000453128,0.000453128,0.000453128
15,8.4853,1.95208,1.34354,1.12166,0.93232,0.45833,0.77065,0.32837,1.93631,2.16082,1.1896,0.000479515,0.000479515,0.000479515
16,9.01134,1.94977,1.32112,1.11526,0.86097,0.53952,0.77374,0.3446,1.91519,1.9662,1.1962,0.000504913,0.000504913,0.000504913
17,9.52309,1.85355,1.22639,1.08422,0.81755,0.63258,0.77582,0.34514,1.84009,1.68935,1.20738,0.00052932,0.00052932,0.00052932
18,10.0192,1.81184,1.18663,1.10611,0.78039,0.69697,0.76673,0.32978,1.89266,1.49093,1.24827,0.000552738,0.000552738,0.000552738
19,10.499,1.74775,1.15465,1.1096,0.77283,0.73454,0.76796,0.30857,2.00893,1.32934,1.30245,0.000575165,0.000575165,0.000575165
20,10.9849,1.76257,1.09677,1.0882,0.81604,0.75,0.81415,0.34589,1.92968,1.18573,1.27773,0.000596603,0.000596603,0.000596603
21,11.4611,1.73842,1.17348,1.12246,0.77661,0.81647,0.83734,0.38805,1.80424,1.13872,1.22313,0.00061705,0.00061705,0.00061705
22,11.9336,1.76356,1.13933,1.09676,0.78792,0.81621,0.84682,0.39631,1.7747,1.14917,1.19658,0.000636507,0.000636507,0.000636507
